                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1358,                 2.5109,                 1.4537,                0.84344,                0.00506,                0.01103,                0.00943,                    nan,                    nan,                    nan,               0.070083,              0.0033242,              0.0033242
                      1,                0.98229,                  1.426,                 1.2916,                0.79936,                0.00506,                0.01306,                0.01119,                    nan,                    nan,                    nan,               0.040061,              0.0066355,              0.0066355
                      2,                0.99734,                 1.3363,                 1.2884,                0.64465,                0.00521,                0.01354,                0.01069,                    nan,                    nan,                    nan,               0.010017,              0.0099249,              0.0099249
                      3,                 1.0692,                 1.3561,                 1.3117,                0.50833,                0.00563,                0.02385,                0.02091,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      4,                 1.0511,                 1.2944,                  1.299,                 0.7401,                0.00563,                0.02465,                0.01987,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      5,                 1.0506,                 1.2655,                 1.3033,                 0.9502,                0.00549,                0.03205,                 0.0252,                    nan,                    nan,                    nan,               0.009868,               0.009868,               0.009868
                      6,                 1.0317,                  1.181,                 1.2801,                0.66278,                0.00563,                0.02433,                0.02047,                    nan,                    nan,                    nan,               0.009835,               0.009835,               0.009835
                      7,                 1.0057,                 1.1382,                 1.2655,                0.49907,                0.00563,                0.03819,                0.03263,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      8,                 1.0152,                 1.1212,                 1.2649,                0.67122,                0.00563,                0.02688,                0.02307,                    nan,                    nan,                    nan,               0.009769,               0.009769,               0.009769
                      9,                0.97896,                 1.0461,                 1.2396,                 0.6875,                0.00549,                0.04891,                0.04197,                    nan,                    nan,                    nan,               0.009736,               0.009736,               0.009736
                     10,                0.98696,                 1.0322,                 1.2519,                0.58618,                0.00549,                0.02879,                0.02487,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     11,                0.97558,                 1.0337,                 1.2343,                0.54126,                0.00563,                0.02265,                0.01884,                    nan,                    nan,                    nan,                0.00967,                0.00967,                0.00967
                     12,                0.94834,                0.98439,                 1.2236,                0.77692,                0.00563,                0.04014,                0.03438,                    nan,                    nan,                    nan,               0.009637,               0.009637,               0.009637
                     13,                0.95512,                0.98491,                 1.2283,                0.64751,                0.00563,                0.07299,                0.06328,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     14,                0.94345,                0.97368,                 1.2179,                0.78172,                0.00563,                0.06836,                0.06467,                    nan,                    nan,                    nan,               0.009571,               0.009571,               0.009571
                     15,                0.94067,                0.95277,                 1.2147,                0.86211,                0.00549,                0.03098,                0.02729,                    nan,                    nan,                    nan,               0.009538,               0.009538,               0.009538
                     16,                0.91525,                0.92094,                 1.2028,                0.61374,                0.00563,                0.04514,                 0.0388,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     17,                0.93178,                 0.9163,                 1.2113,                0.56704,                0.00563,                0.06113,                0.05388,                    nan,                    nan,                    nan,               0.009472,               0.009472,               0.009472
                     18,                0.91245,                0.90183,                 1.2047,                0.63005,                0.00549,                0.04265,                0.03699,                    nan,                    nan,                    nan,               0.009439,               0.009439,               0.009439
                     19,                0.91288,                0.88831,                 1.1977,                0.79902,                0.00549,                0.04187,                0.03661,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     20,                0.89132,                0.86319,                 1.1877,                0.59096,                0.00549,                0.07099,                  0.057,                    nan,                    nan,                    nan,               0.009373,               0.009373,               0.009373
                     21,                0.89015,                0.85517,                 1.1832,                0.61872,                0.00563,                0.04969,                0.04461,                    nan,                    nan,                    nan,                0.00934,                0.00934,                0.00934
                     22,                0.89291,                0.85673,                 1.1786,                0.76444,                0.00549,                 0.0532,                0.04727,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     23,                 0.8882,                0.85677,                 1.1825,                0.78626,                0.00549,                0.04803,                0.04155,                    nan,                    nan,                    nan,               0.009274,               0.009274,               0.009274
